subject	lo	hi	n_total	n_gp	frac_gp
102311	3	28	1	0	0.0
102311	43	7	6	0	0.0
102311	4	13	3	0	0.0
102311	19	3	14387	2	0.00013901438798915688
102311	4	37	29	0	0.0
102311	2	31	43	0	0.0
102311	36	8	18	0	0.0
102311	23	1	667	6	0.008995502248875561
102311	6	54	9654	135	0.013983840894965818
102311	27	6	4	0	0.0
102311	8	9	2	0	0.0
102311	4	43	46	0	0.0
102311	6	7	223	3	0.013452914798206279
102311	22	4	1254	0	0.0
102311	26	6	1338	88	0.06576980568011959
102311	8	22	3120	0	0.0
102311	3	15	4	0	0.0
102311	42	2	491	15	0.03054989816700611
102311	2	45	2386	15	0.006286672254819782
102311	43	2	1805	33	0.018282548476454295
102311	37	8	3	0	0.0
102311	18	6	978	46	0.04703476482617587
102311	2	3	147	24	0.16326530612244897
102311	4	5	2	0	0.0
102311	4	20	330	0	0.0
102311	21	4	3490	0	0.0
102311	2	19	5464	132	0.024158125915080528
102311	6	20	1525	187	0.12262295081967213
102311	35	8	21	0	0.0
102311	6	22	10098	1886	0.18676965735789267
102311	2	1	3850	949	0.2464935064935065
102311	2	24	65	2	0.03076923076923077
102311	23	4	4501	0	0.0
102311	7	39	7	0	0.0
102311	6	5	3241	1078	0.3326133909287257
102311	39	1	5402	28	0.00518326545723806
102311	1	3	1011	51	0.050445103857566766
102311	34	8	22	0	0.0
102311	24	6	501	92	0.18363273453093812
102311	8	54	9	0	0.0
102311	5	7	710	9	0.01267605633802817
102311	40	2	1	0	0.0
102311	25	6	1	0	0.0
102311	4	7	11	0	0.0
102311	19	6	18	0	0.0
102311	6	43	3	0	0.0
102311	38	1	3	0	0.0
102311	4	41	564	0	0.0
102311	41	2	9005	1571	0.17445863409217102
102311	2	47	8705	282	0.03239517518667433
102311	24	4	105	0	0.0
102311	39	3	120	0	0.0
102311	7	1	22	0	0.0
102311	25	4	383	0	0.0
102311	8	50	14	0	0.0
102311	38	3	14	0	0.0
102311	4	3	1402	0	0.0
102311	4	45	21	0	0.0
102311	2	5	1	1	1.0
102311	30	8	3473	0	0.0
102311	21	6	411	53	0.12895377128953772
102311	2	22	1622	97	0.059802712700369916
102311	44	2	563	26	0.046181172291296625
102311	4	19	7539	0	0.0
102311	6	1	7	4	0.5714285714285714
102311	2	20	59	8	0.13559322033898305
102311	8	33	59	0	0.0
102311	4	26	1	0	0.0
102311	27	4	499	0	0.0
102311	2	7	14	0	0.0
102311	6	3	6	0	0.0
102311	1	5	10	2	0.2
102311	23	6	75	13	0.17333333333333334
102311	3	7	57	0	0.0
102311	4	1	248	12	0.04838709677419355
102311	46	2	265	16	0.06037735849056604
102311	4	47	16	0	0.0
102311	8	52	14	0	0.0
102311	4	6	12	1	0.08333333333333333
102311	38	7	209	2	0.009569377990430622
102311	5	38	2720	46	0.016911764705882352
102311	44	6	3	1	0.3333333333333333
102311	2	27	2007	112	0.05580468360737419
102311	4	40	4	0	0.0
102311	42	4	1	0	0.0
102311	6	40	2617	63	0.02407336645013374
102311	2	25	1333	49	0.03675918979744936
102311	46	6	4	0	0.0
102311	4	2	515	65	0.1262135922330097
102311	4	44	10	0	0.0
102311	21	2	5538	899	0.1623329721921271
102311	23	2	1952	411	0.21055327868852458
102311	8	51	5	0	0.0
102311	2	6	31	14	0.45161290322580644
102311	46	4	3	0	0.0
102311	53	8	5	1	0.2
102816	1	34	52	0	0.0
102816	2	8	16	0	0.0
102816	2	12	283	5	0.0176678445229682
102816	25	7	6	0	0.0
102816	31	7	23	0	0.0
102816	4	29	1530	0	0.0
102816	5	48	4443	424	0.09543101507990097
102816	41	3	134	0	0.0
102816	6	53	77	1	0.012987012987012988
102816	9	2	5442	22	0.00404263138552003
102816	3	36	126	0	0.0
102816	48	8	450	0	0.0
102816	5	30	3065	1	0.0003262642740619902
102816	6	16	6722	128	0.019041951800059506
102816	48	4	3	0	0.0
102816	19	7	1187	0	0.0
102816	44	1	279	14	0.05017921146953405
102816	50	1	1	0	0.0
102816	4	14	8	0	0.0
102816	7	32	53	0	0.0
102816	34	5	318	7	0.0220125786163522
102816	5	51	483	134	0.2774327122153209
102816	6	32	19	0	0.0
102816	15	2	25	24	0.96
102816	21	5	872	6	0.006880733944954129
102816	35	5	116	4	0.034482758620689655
102816	5	14	577	5	0.008665511265164644
102816	28	2	22	0	0.0
102816	14	2	12	2	0.16666666666666666
102816	49	8	30	0	0.0
102816	51	1	69	69	1.0
102816	45	1	2672	68	0.025449101796407185
102816	8	18	37	0	0.0
102816	4	30	112	0	0.0
102816	8	25	15	0	0.0
102816	30	7	949	1	0.001053740779768177
102816	18	7	14	0	0.0
102816	20	5	19157	250	0.01305006003027614
102816	5	29	32	0	0.0
102816	2	36	34	4	0.11764705882352941
102816	3	8	70	0	0.0
102816	7	16	138	0	0.0
102816	3	12	4	0	0.0
102816	40	3	29	0	0.0
102816	24	7	3620	0	0.0
102816	1	10	1843	36	0.019533369506239826
102816	7	53	15	3	0.2
102816	29	2	13681	739	0.05401651926028799
102816	1	8	7	0	0.0
102816	1	12	50	1	0.02
102816	47	1	3412	36	0.010550996483001172
102816	5	16	1598	8	0.0050062578222778474
102816	7	51	33	2	0.06060606060606061
102816	6	30	18227	1574	0.08635540681406705
102816	42	3	5	0	0.0
102816	2	34	73	5	0.0684931506849315
102816	8	27	12	0	0.0
102816	7	29	27	0	0.0
102816	3	10	57	0	0.0
102816	5	53	218	94	0.43119266055045874
102816	6	48	15178	774	0.05099486098300171
102816	37	5	4	0	0.0
102816	7	14	35	0	0.0
102816	26	7	849	0	0.0
102816	23	5	129	0	0.0
102816	16	2	28	2	0.07142857142857142
102816	36	5	65	3	0.046153846153846156
102816	4	16	17	0	0.0
102816	5	32	126	0	0.0
102816	52	1	7	7	1.0
102816	7	48	77	3	0.03896103896103896
102816	6	51	246	1	0.0040650406504065045
102816	22	5	2483	66	0.026580749093838098
102816	43	3	14	0	0.0
102816	1	36	21	0	0.0
102816	46	1	56	2	0.03571428571428571
102816	6	14	5510	19	0.0034482758620689655
102816	33	7	372	0	0.0
102816	2	10	4248	9	0.00211864406779661
102816	6	29	1310	185	0.14122137404580154
102816	3	34	300	0	0.0
102816	4	8	129	0	0.0
102816	4	12	2	0	0.0
102816	7	34	655	0	0.0
102816	23	7	111	0	0.0
102816	9	4	2	0	0.0
102816	26	5	1051	14	0.013320647002854425
102816	1	32	1	1	1.0
102816	2	51	71	70	0.9859154929577465
102816	53	3	3	0	0.0
102816	27	5	5	0	0.0
102816	42	1	356	12	0.033707865168539325
102816	3	30	13	0	0.0
102816	33	5	135	3	0.022222222222222223
102816	6	10	36	35	0.9722222222222222
102816	3	48	1	0	0.0
102816	13	2	523	17	0.032504780114722756
102816	3	14	2	0	0.0
102816	3	51	2	0	0.0
102816	5	8	359	6	0.016713091922005572
102816	46	3	2	0	0.0
102816	22	7	2304	0	0.0
102816	3	29	183	0	0.0
102816	5	12	1	1	1.0
102816	8	23	310	0	0.0
102816	7	10	1	1	1.0
102816	6	34	405	40	0.09876543209876543
102816	2	48	12	0	0.0
102816	52	3	3	0	0.0
102816	43	1	1379	37	0.026831036983321246
102816	4	36	70	0	0.0
102816	1	16	1	0	0.0
102816	2	30	105	14	0.13333333333333333
102816	36	7	901	0	0.0
102816	4	34	549	0	0.0
102816	1	29	248	0	0.0
102816	5	10	59	45	0.7627118644067796
102816	19	5	308	1	0.003246753246753247
102816	50	3	4	0	0.0
102816	38	2	1	1	1.0
102816	8	21	3632	0	0.0
102816	31	5	1	0	0.0
102816	44	3	11	0	0.0
102816	41	1	4215	33	0.007829181494661922
102816	7	8	3082	0	0.0
102816	8	6	1343	164	0.12211466865227104
102816	20	7	19806	0	0.0
102816	25	5	1	0	0.0
102816	6	36	126	4	0.031746031746031744
102816	3	16	3	0	0.0
102816	39	2	1939	36	0.018566271273852502
102816	8	38	53	0	0.0
102816	49	6	1883	160	0.0849707912904939
102816	45	3	46	0	0.0
102816	11	2	5281	113	0.021397462601779965
102816	24	5	314	1	0.0031847133757961785
102816	9	6	3	0	0.0
102816	3	32	7	0	0.0
102816	35	7	110	0	0.0
102816	4	10	24	0	0.0
102816	18	5	475	6	0.01263157894736842
102816	2	53	6	0	0.0
102816	40	1	3	0	0.0
